"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","410","test_search_input_exists","tests.ui","Fri Mar 07 10:13:17 GMT 2025","passed","Fri Mar 07 10:13:17 GMT 2025","","test_login","",""
"","420","test_main_content_is_visible","tests.ui","Fri Mar 07 10:13:18 GMT 2025","passed","Fri Mar 07 10:13:18 GMT 2025","","test_login","",""
"","229","test_delete_user","tests.api","Fri Mar 07 10:13:08 GMT 2025","passed","Fri Mar 07 10:13:08 GMT 2025","","test_users","",""
"","228","test_get_users_with_limit","tests.api","Fri Mar 07 10:13:08 GMT 2025","passed","Fri Mar 07 10:13:08 GMT 2025","","test_users","",""
"","451","test_scratchpad_button_exists","tests.ui","Fri Mar 07 10:13:15 GMT 2025","passed","Fri Mar 07 10:13:16 GMT 2025","","test_login","",""
"","414","test_notes_button_exists","tests.ui","Fri Mar 07 10:13:14 GMT 2025","passed","Fri Mar 07 10:13:15 GMT 2025","","test_login","",""
"","413","test_favorites_button_exists","tests.ui","Fri Mar 07 10:13:14 GMT 2025","passed","Fri Mar 07 10:13:14 GMT 2025","","test_login","",""
"","511","test_refresh_button","tests.ui","Fri Mar 07 10:13:19 GMT 2025","passed","Fri Mar 07 10:13:20 GMT 2025","","test_login","",""
"","212","test_get_all_users","tests.api","Fri Mar 07 10:13:07 GMT 2025","passed","Fri Mar 07 10:13:07 GMT 2025","","test_users","",""
"","1","test_successful_login","tests.api","Fri Mar 07 10:13:05 GMT 2025","passed","Fri Mar 07 10:13:05 GMT 2025","","test_auth","",""
"","121","test_get_single_product","tests.api","Fri Mar 07 10:13:06 GMT 2025","passed","Fri Mar 07 10:13:06 GMT 2025","","test_products","",""
"","425","test_trash_button_exists","tests.ui","Fri Mar 07 10:13:13 GMT 2025","passed","Fri Mar 07 10:13:13 GMT 2025","","test_login","",""
"","554","test_open_app","tests.ui","Fri Mar 07 10:13:12 GMT 2025","passed","Fri Mar 07 10:13:12 GMT 2025","","test_login","",""
"","135","test_update_product","tests.api","Fri Mar 07 10:13:07 GMT 2025","passed","Fri Mar 07 10:13:07 GMT 2025","","test_products","",""
"","454","test_new_note_button_exists","tests.ui","Fri Mar 07 10:13:16 GMT 2025","passed","Fri Mar 07 10:13:17 GMT 2025","","test_login","",""
"","157","test_update_cart","tests.api","Fri Mar 07 10:13:06 GMT 2025","passed","Fri Mar 07 10:13:06 GMT 2025","","test_carts","",""
"","477","test_settings_icon_exists","tests.ui","Fri Mar 07 10:13:19 GMT 2025","passed","Fri Mar 07 10:13:19 GMT 2025","","test_login","",""
"","323","test_update_user","tests.api","Fri Mar 07 10:13:08 GMT 2025","passed","Fri Mar 07 10:13:08 GMT 2025","","test_users","",""
"","454","test_delete_product","tests.api","Fri Mar 07 10:13:07 GMT 2025","passed","Fri Mar 07 10:13:07 GMT 2025","","test_products","",""
"","211","test_delete_cart","tests.api","Fri Mar 07 10:13:06 GMT 2025","passed","Fri Mar 07 10:13:06 GMT 2025","","test_carts","",""
"","124","test_create_product","tests.api","Fri Mar 07 10:13:06 GMT 2025","passed","Fri Mar 07 10:13:07 GMT 2025","","test_products","",""
"","119","test_create_cart","tests.api","Fri Mar 07 10:13:06 GMT 2025","passed","Fri Mar 07 10:13:06 GMT 2025","","test_carts","",""
"","224","test_get_all_carts","tests.api","Fri Mar 07 10:13:05 GMT 2025","passed","Fri Mar 07 10:13:06 GMT 2025","","test_carts","",""
"","221","test_failed_login","tests.api","Fri Mar 07 10:13:05 GMT 2025","passed","Fri Mar 07 10:13:05 GMT 2025","","test_auth","",""
"","126","test_get_all_products","tests.api","Fri Mar 07 10:13:06 GMT 2025","passed","Fri Mar 07 10:13:06 GMT 2025","","test_products","",""
"","220","test_get_single_user","tests.api","Fri Mar 07 10:13:07 GMT 2025","passed","Fri Mar 07 10:13:08 GMT 2025","","test_users","",""
